POINT_X,POINT_Y,HARV88,HARV95,HARV2010
502729.7151,5121095.158,0.0209,0.087,0.5339
503229.7151,5121095.158,0.0049,0.1319,0.5106
503729.7151,5121095.158,0.0037,0.2104,0.5451
504229.7151,5121095.158,0.018,0.2545,0.5834
504729.7151,5121095.158,0.067,0.2603,0.5706
505229.7151,5121095.158,0.1263,0.2399,0.5322
505729.7151,5121095.158,0.1706,0.2384,0.5594
506229.7151,5121095.158,0.1437,0.1506,0.4874
506729.7151,5121095.158,0.1099,0.1114,0.4094
507229.7151,5121095.158,0.0856,0.0876,0.3441
507729.7151,5121095.158,0.0586,0.0684,0.3179
508229.7151,5121095.158,0.0736,0.0873,0.3092
508729.7151,5121095.158,0.0544,0.0587,0.2703
509229.7151,5121095.158,0.0782,0.0761,0.2827
509729.7151,5121095.158,0.0979,0.1151,0.2966
481729.7151,5120595.158,0.008,0.0097,0.5569
482229.7151,5120595.158,0.0183,0.0215,0.565
482729.7151,5120595.158,0.0764,0.0827,0.6642
483229.7151,5120595.158,0.1125,0.1583,0.7718
483729.7151,5120595.158,0.1566,0.2098,0.7369
484229.7151,5120595.158,0.1589,0.2207,0.6444
484729.7151,5120595.158,0.1308,0.1743,0.5734
485229.7151,5120595.158,0.1651,0.164,0.506
485729.7151,5120595.158,0.1572,0.1577,0.5339
486229.7151,5120595.158,0.1434,0.146,0.6201
486729.7151,5120595.158,0.1039,0.1091,0.611
487229.7151,5120595.158,0.0601,0.1285,0.6745
487729.7151,5120595.158,0.0504,0.2427,0.7389
488229.7151,5120595.158,0.0552,0.3403,0.7052
488729.7151,5120595.158,0.0372,0.3884,0.7014
489229.7151,5120595.158,0.0249,0.2875,0.6974
489729.7151,5120595.158,0.0169,0.2055,0.7329
490229.7151,5120595.158,0.0157,0.1091,0.7744
490729.7151,5120595.158,0.0189,0.034,0.7827
491229.7151,5120595.158,0.0238,0.0418,0.739
491729.7151,5120595.158,0.0232,0.0853,0.6939
492229.7151,5120595.158,0.0149,0.1402,0.6536
492729.7151,5120595.158,0.0069,0.1577,0.6233
493229.7151,5120595.158,0.0031,0.1102,0.5617
493729.7151,5120595.158,0,0.1188,0.5281
494229.7151,5120595.158,0,0.1314,0.5169
494729.7151,5120595.158,0,0.1944,0.6507
495229.7151,5120595.158,0,0.2419,0.765
495729.7151,5120595.158,0,0.2307,0.7747
496229.7151,5120595.158,0,0.2551,0.75
496729.7151,5120595.158,0,0.28,0.6808
497229.7151,5120595.158,0,0.2416,0.6064
497729.7151,5120595.158,0,0.1769,0.5408
498229.7151,5120595.158,0,0.1219,0.5033
499229.7151,5120595.158,0,0.1786,0.6195
499729.7151,5120595.158,0,0.2579,0.6942
500229.7151,5120595.158,0.0395,0.3151,0.7562
500729.7151,5120595.158,0.0933,0.3321,0.7681
501229.7151,5120595.158,0.1555,0.3453,0.793
501729.7151,5120595.158,0.1975,0.2971,0.7664
502229.7151,5120595.158,0.1492,0.2227,0.683
502729.7151,5120595.158,0.0604,0.1987,0.5935
503229.7151,5120595.158,0.0249,0.2135,0.6021
503729.7151,5120595.158,0.0647,0.262,0.5824
504229.7151,5120595.158,0.1137,0.2825,0.5984
504729.7151,5120595.158,0.186,0.3174,0.601
505229.7151,5120595.158,0.2033,0.2757,0.5002
505729.7151,5120595.158,0.2015,0.2391,0.4738
506229.7151,5120595.158,0.1563,0.16,0.3998
506729.7151,5120595.158,0.1105,0.1114,0.3811
507229.7151,5120595.158,0.0956,0.0988,0.3398
507729.7151,5120595.158,0.093,0.0948,0.3331
508229.7151,5120595.158,0.0953,0.0985,0.3444
508729.7151,5120595.158,0.0762,0.0805,0.2702
509229.7151,5120595.158,0.0718,0.0718,0.2143
509729.7151,5120595.158,0.0865,0.1002,0.2279
481729.7151,5120095.158,0.0109,0.0169,0.4271
482229.7151,5120095.158,0.0238,0.0284,0.5012
482729.7151,5120095.158,0.0641,0.0681,0.6235
483229.7151,5120095.158,0.0862,0.1274,0.686
