POINT_X,POINT_Y,HARV88,HARV95,HARV2010,Dhat1988,Dhat1995,Dhat2015
491229.7151,5105595.158,0,0.4845,0.6981,0.413954175,0.032371722,0.010524957
491729.7151,5105595.158,0,0.4678,0.706,0.413954175,0.035343952,0.010096565
492229.7151,5105595.158,0,0.4438,0.6558,0.413954175,0.040099637,0.013147706
492729.7151,5105595.158,0,0.377,0.4951,0.413954175,0.056981991,0.0306162
493229.7151,5105595.158,0,0.2253,0.2877,0.413954175,0.126555036,0.091145149
483729.7151,5105095.158,0.6297,0.6836,0.7526,0.015082472,0.011359101,0.007901711
484229.7151,5105095.158,0.6785,0.7157,0.7953,0.011667944,0.009594339,0.006312156
484729.7151,5105095.158,0.4875,0.5188,0.5789,0.031864906,0.027027835,0.019702416
485229.7151,5105095.158,0.4049,0.5083,0.5504,0.049204313,0.028562575,0.022888882
485729.7151,5105095.158,0.2276,0.4987,0.5763,0.125033197,0.030041906,0.019973717
486229.7151,5105095.158,0.1635,0.6599,0.7435,0.175167959,0.012867198,0.008289132
486729.7151,5105095.158,0.1506,0.8319,0.9169,0.187466334,0.005206778,0.00332963
487229.7151,5105095.158,0.0352,0.8368,0.8986,0.343986798,0.005074293,0.003666066
487729.7151,5105095.158,0.016,0.7354,0.8187,0.380541515,0.00864993,0.005581141
488229.7151,5105095.158,0.0218,0.6583,0.7806,0.36910726,0.012975945,0.006819589
488729.7151,5105095.158,0.0149,0.5901,0.7612,0.382749711,0.018575236,0.007552233
489229.7151,5105095.158,0.002,0.4847,0.669,0.409622203,0.032337685,0.012265805
489729.7151,5105095.158,0,0.4825,0.6331,0.413954175,0.032714071,0.014815135
490229.7151,5105095.158,0,0.5247,0.6138,0.413954175,0.026201935,0.01639813
490729.7151,5105095.158,0,0.5239,0.655,0.413954175,0.026312425,0.013203148
491229.7151,5105095.158,0,0.4717,0.722,0.413954175,0.034626292,0.009281612
491729.7151,5105095.158,0.002,0.3788,0.6659,0.409622203,0.056445032,0.01246745
492229.7151,5105095.158,0.0069,0.2966,0.534,0.399199495,0.086976614,0.024951034
492729.7151,5105095.158,0.0052,0.2099,0.3511,0.402785144,0.137233147,0.065298514
493229.7151,5105095.158,0,0.0873,0.1451,0.413954175,0.261532165,0.192968947
483729.7151,5104595.158,0.4698,0.5035,0.6405,0.034974082,0.029292903,0.014249549
484229.7151,5104595.158,0.6104,0.6405,0.7515,0.016694032,0.014249549,0.007947563
484729.7151,5104595.158,0.5623,0.5869,0.6873,0.021500093,0.01889054,0.011140168
485229.7151,5104595.158,0.4701,0.5661,0.604,0.034918937,0.021074616,0.017265586
485729.7151,5104595.158,0.3192,0.5743,0.6233,0.077228092,0.02018495,0.015598851
