X,Y,Heavy,Heavy_NW,MPI,Light,Light_NW,Harvest,Harvest_NW,
487375.8867,5099245.25,0.485689506,0.481513328,9.588017165,0,0,0.485689506,0.481513328,0.487375887
487875.8867,5099245.25,0.510891664,0.504155919,9.470852643,0,0,0.510891664,0.504155919,0.487875887
488375.8867,5099245.25,0.545801527,0.53388857,9.2659122,0,0,0.545801527,0.53388857,0.488375887
488875.8867,5099245.25,0.646797153,0.625107481,9.21321533,0,0,0.646797153,0.625107481,0.488875887
489375.8867,5099245.25,0.694269427,0.663227286,9.108549543,0,0,0.694269427,0.663227286,0.489375887
489875.8867,5099245.25,0.72849162,0.561746123,9.055616443,0,0,0.72849162,0.561746123,0.489875887
491875.8867,5099245.25,0.848226018,0.370020063,8.481373479,0,0,0.848226018,0.370020063,0.491875887
482375.8867,5099745.25,0.681087401,0.667813127,9.139614878,0.027477346,0.026941817,0.708029218,0.694754944,0.482375887
482875.8867,5099745.25,0.583088667,0.568728522,9.287231633,0.055196712,0.053837342,0.63692601,0.622565865,0.482875887
483375.8867,5099745.25,0.501041977,0.481820784,9.31274876,0.125334921,0.120526768,0.621568745,0.602347552,0.483375887
483875.8867,5099745.25,0.484678845,0.4714818,9.354809464,0.203889216,0.198337633,0.683016478,0.669819433,0.483875887
484375.8867,5099745.25,0.466124661,0.443298969,9.408571555,0.258958145,0.246277205,0.712401866,0.689576174,0.484375887
484875.8867,5099745.25,0.464352139,0.428857715,9.4586807,0.221946683,0.204981391,0.66933353,0.633839107,0.484875887
485375.8867,5099745.25,0.547394852,0.499856692,9.445740489,0.130257376,0.118945257,0.666340109,0.618801949,0.485375887
485875.8867,5099745.25,0.59873817,0.543528064,9.362457117,0.042271293,0.038373425,0.637111595,0.581901489,0.485875887
486375.8867,5099745.25,0.671842341,0.644145434,9.369656817,0.003284563,0.003149155,0.674991496,0.647294589,0.486375887
486875.8867,5099745.25,0.618644068,0.606764116,9.47100477,0.002630041,0.002579536,0.621223603,0.609343651,0.486875887
487375.8867,5099745.25,0.633160023,0.627720504,9.48111598,0.002599653,0.00257732,0.635737343,0.630297824,0.487375887
487875.8867,5099745.25,0.665120325,0.656742056,9.23020039,0,0,0.665120325,0.656742056,0.487875887
488375.8867,5099745.25,0.65013131,0.638578389,9.160227547,0,0,0.65013131,0.638578389,0.488375887
488875.8867,5099745.25,0.701233843,0.683562428,9.11829872,0,0,0.701233843,0.683562428,0.488875887
489375.8867,5099745.25,0.683039852,0.632980246,9.191148318,0,0,0.683039852,0.632980246,0.489375887
489875.8867,5099745.25,0.726811594,0.574949842,9.039102457,0.000362319,0.000286615,0.727098209,0.575236457,0.489875887
490375.8867,5099745.25,0.779324056,0.561282932,9.074985659,0.000397614,0.000286369,0.779610425,0.561569301,0.490375887
491375.8867,5099745.25,0.894536213,0.60533104,8.407536889,0.002117747,0.001433075,0.895969289,0.606764116,0.491375887
491875.8867,5099745.25,0.895833333,0.664948454,8.503439705,0.00154321,0.001145475,0.896978809,0.666093929,0.491875887
492875.8867,5099745.25,0.564832628,0.420750931,9.466868405,0,0,0.564832628,0.420750931,0.492875887
481875.8867,5100245.25,0.710408589,0.682717111,9.35015073,0.020578586,0.01977644,0.73018503,0.702493551,0.481875887
482375.8867,5100245.25,0.630995204,0.604190586,9.242642458,0.0308753,0.02956372,0.660558924,0.633754305,0.482375887
482875.8867,5100245.25,0.513666072,0.495273561,9.42003745,0.090314914,0.087081066,0.600747138,0.582354626,0.482875887
483375.8867,5100245.25,0.476504041,0.456291201,9.491904704,0.155941335,0.149326455,0.625830495,0.605617655,0.483375887
483875.8867,5100245.25,0.383745162,0.369977038,9.459361969,0.241143197,0.232491389,0.616236551,0.602468427,0.483875887
484375.8867,5100245.25,0.367734282,0.355199083,9.273966285,0.337188612,0.325694643,0.693428926,0.680893727,0.484375887
484875.8867,5100245.25,0.498937139,0.47090857,9.263386213,0.30701488,0.289767842,0.788704981,0.760676412,0.484875887
485375.8867,5100245.25,0.565879428,0.522675086,9.414948552,0.193287756,0.178530425,0.744409853,0.701205511,0.485375887
485875.8867,5100245.25,0.691793313,0.651962188,9.289425177,0.089361702,0.084216557,0.77600987,0.736178745,0.485875887
486375.8867,5100245.25,0.794117647,0.766122098,9.139317193,0.003565062,0.003439381,0.797557028,0.769561479,0.486375887
486875.8867,5100245.25,0.81759341,0.797646383,9.013631947,0.002647838,0.002583238,0.820176647,0.800229621,0.486875887
487375.8867,5100245.25,0.790197764,0.789745059,9.119952957,0.002579536,0.002578058,0.792775822,0.792323117,0.487375887
487875.8867,5100245.25,0.773157442,0.772714245,8.959730697,0.002294236,0.002292921,0.775450363,0.775007165,0.487875887
488375.8867,5100245.25,0.732736203,0.727898967,9.031348762,0,0,0.732736203,0.727898967,0.488375887
488875.8867,5100245.25,0.740469208,0.723288456,9.041767504,0,0,0.740469208,0.723288456,0.488875887
489375.8867,5100245.25,0.760704525,0.717970765,9.063362555,0,0,0.760704525,0.717970765,0.489375887
489875.8867,5100245.25,0.750890833,0.66532721,9.022478289,0,0,0.750890833,0.66532721,0.489875887
490375.8867,5100245.25,0.816541865,0.687195646,9.05735228,0.000340368,0.000286451,0.816828316,0.687482097,0.490375887
490875.8867,5100245.25,0.843558282,0.709372313,8.656908645,0.001704158,0.001433075,0.844991358,0.710805388,0.490875887
491375.8867,5100245.25,0.879299363,0.792479908,8.444411808,0.001592357,0.001435132,0.880734495,0.79391504,0.491375887
491875.8867,5100245.25,0.91145668,0.822686909,8.332048567,0.001269438,0.001145803,0.912602484,0.823832713,0.491875887
492375.8867,5100245.25,0.860496311,0.735454285,8.556382109,0.001341382,0.00114646,0.861642772,0.736600745,0.492375887
492875.8867,5100245.25,0.6795857,0.583811711,9.431780072,0,0,0.6795857,0.583811711,0.492875887
493375.8867,5100245.25,0.431788932,0.384417072,9.581074421,0,0,0.431788932,0.384417072,0.493375887
493875.8867,5100245.25,0.141086749,0.127257094,9.641581814,0,0,0.141086749,0.127257094,0.493875887
481375.8867,5100745.25,0.736328702,0.713958154,9.339895037,0.029263967,0.028374893,0.764703595,0.742333047,0.481375887
481875.8867,5100745.25,0.68753781,0.651476068,9.337588673,0.059286146,0.056176555,0.743714365,0.707652623,0.481875887
482375.8867,5100745.25,0.663850332,0.631820793,9.19845015,0.066083283,0.062894888,0.72674522,0.694715681,0.482375887
482875.8867,5100745.25,0.58502994,0.560045858,9.409049037,0.092814371,0.088850674,0.673880614,0.648896532,0.482875887
483375.8867,5100745.25,0.461310406,0.445973058,9.516841969,0.158019567,0.152765835,0.614076242,0.598738894,0.483375887
483875.8867,5100745.25,0.39216264,0.38225158,9.531884761,0.227754862,0.221998851,0.614161491,0.604250431,0.483875887
484375.8867,5100745.25,0.425771116,0.423330467,9.38501314,0.330354569,0.328460877,0.754231993,0.751791344,0.484375887
484875.8867,5100745.25,0.487783338,0.474921181,8.956224567,0.300559317,0.292633993,0.780417331,0.767555173,0.484875887
485375.8867,5100745.25,0.588164973,0.565192418,8.912968699,0.214883443,0.206490523,0.794655496,0.771682941,0.485375887
485875.8867,5100745.25,0.696081364,0.666953282,9.027879757,0.115166019,0.110346804,0.806428168,0.777300086,0.485875887
486375.8867,5100745.25,0.825663717,0.802235598,8.892745171,0.015634218,0.015190599,0.840854316,0.817426197,0.486375887
486875.8867,5100745.25,0.892971712,0.879379667,8.721281302,0.003791193,0.003733487,0.896705198,0.883113153,0.486875887
487375.8867,5100745.25,0.853203103,0.851246776,9.014372593,0.002585464,0.002579536,0.855782638,0.853826311,0.487375887
487875.8867,5100745.25,0.770199063,0.754084265,9.196685685,0.00234192,0.002292921,0.772491984,0.756377185,0.487875887
