X,Y,Heavy,MPI,Light,Harvest
485875.8867,5098245.25,0.603624671,-0.267420943,0.026015785,0.629111498
486375.8867,5098245.25,0.480034722,0.1722142,0.077546296,0.556759601
486875.8867,5098245.25,0.423903697,0.456079991,0.121524792,0.54542849
487375.8867,5098245.25,0.406088455,0.329635483,0.096496267,0.502308386
487875.8867,5098245.25,0.538906566,-0.229118247,0.0454151,0.583853603
488375.8867,5098245.25,0.663197456,-0.39915131,0.012142238,0.675235289
488875.8867,5098245.25,0.678796562,-0.612030928,0.009169054,0.687960365
489375.8867,5098245.25,0.645705968,-0.537632349,0.007569141,0.653149426
489875.8867,5098245.25,0.6011994,-0.241107076,0.003598201,0.604638781
490375.8867,5098245.25,0.540124588,0.272969672,0,0.540124588
490875.8867,5098245.25,0.50610998,0.096541008,0,0.50610998
482875.8867,5098745.25,0.711830421,-1.036673298,0.024921226,0.736751647
483375.8867,5098745.25,0.711378619,-1.254498149,0.01805675,0.729435368
483875.8867,5098745.25,0.738046943,-0.822797578,0.046363373,0.783971168
484375.8867,5098745.25,0.706616367,-0.151488059,0.060940221,0.76677105
484875.8867,5098745.25,0.615015015,0.110483302,0.058258258,0.67061834
485375.8867,5098745.25,0.670488835,-0.425413766,0.034701267,0.703496872
485875.8867,5098745.25,0.587320574,-0.26913868,0.018241627,0.604794077
486375.8867,5098745.25,0.503634778,0.2792124,0.012794417,0.516245841
486875.8867,5098745.25,0.436854191,0.59548349,0.021239954,0.458094145
487375.8867,5098745.25,0.379659058,0.550674611,0.017913898,0.397419012
487875.8867,5098745.25,0.465741544,0.258917967,0.004914715,0.470614
488375.8867,5098745.25,0.568341121,-0.34579684,0,0.568341121
488875.8867,5098745.25,0.664697194,-0.571343175,0.001772526,0.666415899
489375.8867,5098745.25,0.755502677,-1.461317651,0.000297442,0.755789292
489875.8867,5098745.25,0.706137425,-1.779280058,0,0.706137425
490375.8867,5098745.25,0.669156415,-1.369020344,0,0.669156415
490875.8867,5098745.25,0.622999407,-0.977381677,0.000592768,0.623286022
482375.8867,5099245.25,0.690703736,-1.044828266,0.026933102,0.717412524
482875.8867,5099245.25,0.684059633,-0.813671295,0.033543578,0.717593597
483375.8867,5099245.25,0.606087211,-0.815741855,0.073163594,0.67774098
483875.8867,5099245.25,0.566187262,-0.568895434,0.14176695,0.704900645
484375.8867,5099245.25,0.564094866,-0.071474767,0.154908436,0.711988246
484875.8867,5099245.25,0.497981993,0.195805485,0.141570941,0.628678468
485375.8867,5099245.25,0.564506173,0.203567243,0.062345679,0.622518809
485875.8867,5099245.25,0.548266167,-0.184883051,0.017806935,0.564603226
486375.8867,5099245.25,0.543692216,0.057726646,0.005070086,0.548564672
486875.8867,5099245.25,0.508645533,0.491198844,0,0.508645533
487375.8867,5099245.25,0.485689506,0.572190724,0,0.485689506
487875.8867,5099245.25,0.510891664,0.160720676,0,0.510891664
488375.8867,5099245.25,0.545801527,-0.559009601,0,0.545801527
488875.8867,5099245.25,0.646797153,-0.744075723,0,0.646797153
489375.8867,5099245.25,0.694269427,-1.111651467,0,0.694269427
489875.8867,5099245.25,0.72849162,-1.297547205,0,0.72849162
491875.8867,5099245.25,0.848226018,-3.31423089,0,0.848226018
482375.8867,5099745.25,0.681087401,-1.002553127,0.027477346,0.708029218
482875.8867,5099745.25,0.583088667,-0.484137891,0.055196712,0.63692601
483375.8867,5099745.25,0.501041977,-0.394524301,0.125334921,0.621568745
483875.8867,5099745.25,0.484678845,-0.246811328,0.203889216,0.683016478
484375.8867,5099745.25,0.466124661,-0.058004257,0.258958145,0.712401866
484875.8867,5099745.25,0.464352139,0.117974033,0.221946683,0.66933353
485375.8867,5099745.25,0.547394852,0.07252931,0.130257376,0.666340109
485875.8867,5099745.25,0.59873817,-0.219953538,0.042271293,0.637111595
486375.8867,5099745.25,0.671842341,-0.194668913,0.003284563,0.674991496
486875.8867,5099745.25,0.618644068,0.161254931,0.002630041,0.621223603
487375.8867,5099745.25,0.633160023,0.196764486,0.002599653,0.635737343
487875.8867,5099745.25,0.665120325,-0.684425896,0,0.665120325
488375.8867,5099745.25,0.65013131,-0.930163501,0,0.65013131
488875.8867,5099745.25,0.701233843,-1.077413336,0,0.701233843
489375.8867,5099745.25,0.683039852,-0.821572855,0,0.683039852
489875.8867,5099745.25,0.726811594,-1.355542667,0.000362319,0.727098209
490375.8867,5099745.25,0.779324056,-1.229524461,0.000397614,0.779610425
491375.8867,5099745.25,0.894536213,-3.573537588,0.002117747,0.895969289
491875.8867,5099745.25,0.895833333,-3.236736518,0.00154321,0.896978809
492875.8867,5099745.25,0.564832628,0.146728432,0,0.564832628
481875.8867,5100245.25,0.710408589,-0.263172334,0.020578586,0.73018503
482375.8867,5100245.25,0.630995204,-0.640730601,0.0308753,0.660558924
482875.8867,5100245.25,0.513666072,-0.017737184,0.090314914,0.600747138
483375.8867,5100245.25,0.476504041,0.234653403,0.155941335,0.625830495
483875.8867,5100245.25,0.383745162,0.120366582,0.241143197,0.616236551
484375.8867,5100245.25,0.367734282,-0.530724463,0.337188612,0.693428926
484875.8867,5100245.25,0.498937139,-0.567880614,0.30701488,0.788704981
